id_customers;FirstName;LastName;MiddleName;PassportS;PassportN;Phone
5;Jane;Smith;Петрович;8745;538368;84567678987
6;Вовчат;Рожков;;2462;289446;86526244255
7;Игорь;Сантинин;;3156;344461;88458747434
8;Тимофей;Капустин;Владимирович;6456;277576;84352736383
9;Ольга;Палмина;;5455;257652;89838963962
10;Игорь;Титов;Николаевич;9390;145452;86748484933
11;Мария;Титова;;7838;516454;82527764435
12;Татьяна;Станиславова;Владимировна;8368;356352;89003337433
13;Владлен;Кирпичев;Игоревич;2446;234462;84567678987
14;Мария;Полянина;Игоревна;3461;378156;86526244255
15;Шамиль;Тигров;Всеславович;2776;647656;88458747434
16;Александр;Панфилов;;1121;355455;84352736383
17;Пётр;Игорев;Николаевич;1717;939540;89838964962
18;Валентин;Полиморфинов;Петрович;3745;731838;86748684933
19;Анастасия;Тимофеева;Александровна;3541;544545;82527564435
20;Калина;Фадеева;Николаевна;9367;345345;83563653566
21;Ольга;Годжо;Сергеевна;4620;111122;89654381541
23;John;Doe;Middle;1234;567890;11112223333
24;Стас;Супер;NULL;3052;415613;87124651235
